tree_size,max_rules,cv_R2
2,50,0.7194258815768129
2,100,0.730289024439759
2,200,0.7059429467600071
2,500,0.6840315971512939
3,50,0.7006328762414243
3,100,0.7240914803928489
3,200,0.4465185215156886
3,500,0.4840237926168832
4,50,0.7219537849845243
4,100,0.7328841574278114
4,200,0.6070667928356628
4,500,0.6236722224449466
6,50,0.6562478462181449
6,100,0.47116844800620844
6,200,0.6880651211766485
6,500,0.6209568655288116
8,50,0.4560362417480044
8,100,0.5522602589606912
8,200,0.6403515081596745
8,500,0.591738216286568
