rule,type,coef,support,importance,rule_physical_units
Graphene (wt. %),linear,-1.6824725116490746,1.0,1.1017901464035924,Graphene (wt. %)
Load (N) > -0.6358307898044586 & Type of Graphene_encoded > -0.220378577709198 & Density (%) > -0.7341868728399277,rule,1.6257137079577717,0.4285714285714285,0.8045196402125862,Load > 7.4 N & GNP type (enc.) > 14.2 & Density > 87.1 %
Graphene (wt. %) > -0.05900891963392496 & sintering_intensity <= -0.1350325345993042,rule,-2.133318496163365,0.1071428571428571,0.659824290014532,Graphene > 2.62 wt% & Sint. intensity ≤ 6.25e+04
Type of Graphene_encoded,linear,0.598272305175641,1.0,0.5896182493693942,Type of Graphene_encoded
Sintering Temperature (°C) > -0.36074260622262955 & Si3N4 (wt%) <= -0.20140836387872696,rule,-1.0170664578551107,0.25,0.4404026949197905,Sint. temperature > 1612 °C & Si$_3$N$_4$ ≤ 87.4 wt%
Sintering Pressure (MPa) > -0.5964524650480598 & Graphene (wt. %) > -0.1961146080866456,rule,0.7651235029489963,0.3928571428571428,0.3736752335991959,Sint. pressure > 32.5 MPa & Graphene > 2 wt%
Density (%),linear,0.5940160980405867,1.0,0.3692990459396271,Density (%)
Sintering Pressure (MPa) <= -0.9894904792308807,rule,-0.8122229041185612,0.2857142857142857,0.3669249063958871,Sint. pressure ≤ 27.5 MPa
Thickness of graphene (nm) <= -0.47927433252334595 & si3n4_to_additive <= 0.7238286733627319 & Type of Graphene_encoded <= 0.8692739382386208 & Type of Graphene_encoded <= -0.220378577709198 & Type of Graphene_encoded > -0.7904582396149635 & Graphene (wt. %) <= 0.826320692896843,rule,1.1456540724876476,0.1071428571428571,0.3543448324012148,GNP thickness ≤ 3.5 nm & Si$_3$N$_4$/additive ≤ 18.8 & GNP type (enc.) ≤ 17.0 & GNP type (enc.) ≤ 14.2 & GNP type (enc.) > 12.8 & Graphene ≤ 6.66 wt%
Sintering Pressure (MPa) > -0.9894904792308807 & Type of Graphene_encoded > 1.5205397605895996,rule,0.8672888792586767,0.1785714285714285,0.3321656098387069,Sint. pressure > 27.5 MPa & GNP type (enc.) > 18.7
Type of Graphene_encoded > 0.8692739382386208 & Sintering Temperature (°C) <= 0.47512439638376236 & total_additive > -1.855623871088028,rule,0.9008046208793272,0.1071428571428571,0.2786141734028241,GNP type (enc.) > 17.0 & Sint. temperature ≤ 1675 °C & Total additive > 4.5 wt%
Graphene (wt. %) > -0.5800105333328247 & Density (%) > -0.7341868728399277 & Load (N) <= 0.8625552803277969 & Type of Graphene_encoded <= 1.5205397605895996 & Density (%) > 0.44571246206760406,rule,-0.7053385726315714,0.1428571428571428,0.2468170855500517,Graphene > 0.25 wt% & Density > 87.1 % & Load ≤ 73.5 N & GNP type (enc.) ≤ 18.7 & Density > 98.8 %
β-Si3N4 Content (%) > -1.2611891031265259 & graphene_aspect_ratio <= 0.508739598095417 & Type of Graphene_encoded <= 0.44326869398355484 & Density (%) > -0.8153144717216492 & sintering_dose <= 1.9170914888381958,rule,-0.4746843942546772,0.4285714285714285,0.2349078538311876,β post-sint. > 14.0 % & GNP aspect ratio ≤ 0.797 & GNP type (enc.) ≤ 15.9 & Density > 86.3 % & Sint. dose ≤ 1.16e+07
Type of Graphene_encoded > -0.220378577709198 & Si3N4 (wt%) <= -0.20140836387872696,rule,-0.5269908734044859,0.2142857142857142,0.2162380061732757,GNP type (enc.) > 14.2 & Si$_3$N$_4$ ≤ 87.4 wt%
Si3N4 (wt%) > -0.20140836387872696 & Density (%) <= 0.43100810050964355 & Type of Graphene_encoded <= 1.5205397605895996,rule,0.4680144728346171,0.2857142857142857,0.2114273874400558,Si$_3$N$_4$ > 87.4 wt% & Density ≤ 98.6 % & GNP type (enc.) ≤ 18.7
Sintering Pressure (MPa) <= -0.9894904792308807 & Graphene (wt. %) > -0.1961146080866456,rule,-0.5393118031724666,0.1785714285714285,0.2065526703710502,Sint. pressure ≤ 27.5 MPa & Graphene > 2 wt%
Si3N4 (wt%),linear,0.2769231540356487,1.0,0.1934448202036118,Si3N4 (wt%)
Density (%) <= -0.11863129585981369 & graphene_volume_proxy > 0.04694753675721586 & Thickness of graphene (nm) > -0.3778688460588455,rule,-0.7072669730009208,0.0714285714285714,0.182149095471216,Density ≤ 93.2 % & GNP volume proxy > 247 & GNP thickness > 6 nm
Si3N4 (wt%) > -0.20140836387872696 & sintering_energy > -0.10660519823431969 & Density (%) > 0.43100810050964355 & Type of Graphene_encoded <= 1.5205397605895996,rule,-0.5406990273022643,0.1071428571428571,0.1672353905161773,Si$_3$N$_4$ > 87.4 wt% & Sint. energy > 1.04e+05 & Density > 98.6 % & GNP type (enc.) ≤ 18.7
Load (N) <= -0.5791595876216888 & Type of Graphene_encoded > -0.220378577709198 & additive_ratio <= 1.0151890255510807,rule,-0.5241205613142191,0.1071428571428571,0.1621077574085261,Load ≤ 9.9 N & GNP type (enc.) > 14.2 & Additive ratio ≤ 1.99
