"XGBoost (Default, Tuned)","XGBoost (Extra Features, Tuned)",Linear Regression,RuleFit (Tuned),RuleFit (Default),Few-Shot KNN,DNN Small (32-16)
1.18,1.3614,1.8322,1.4003,1.2044,1.6573,0.9011
1.5686,1.6729,26.281,1.1713,1.5824,2.0479,29.9537
1.089,1.3063,2.9819,1.2715,1.5797,1.8232,1.5828
1.4562,1.2602,1.8794,1.3724,1.5407,2.0148,1.2106
1.7116,1.7336,2.2966,1.4296,1.5663,1.9062,1.5113
1.701,1.4709,2.2251,1.2826,1.4986,1.9245,1.6438
1.3513,0.98,1.6297,1.2424,1.2837,1.6234,1.6307
1.0723,0.9863,2.2733,1.2935,1.4066,1.3555,1.9027
1.3662,1.3616,2.2896,1.6882,1.693,1.8266,2.2091
0.9822,0.8801,1.7071,1.0295,1.0095,1.5014,1.2452
1.716,1.476,2.0609,1.573,1.4604,1.9012,3.058
1.5571,1.6457,1.816,1.5806,1.6765,1.841,1.3881
1.3734,1.3906,1.9503,1.1183,1.1462,1.62,1.5508
1.3791,1.5136,2.056,1.4332,1.4045,1.7363,1.2567
1.0325,1.12,2.5389,1.205,1.3014,1.7975,1.0377
1.2558,1.028,2.3784,1.2396,1.2548,1.8718,1.68
1.7206,1.6625,2.0914,1.8379,1.7138,1.8357,1.1422
1.5197,2.0478,2.7246,1.9584,1.8397,1.9913,2.1097
1.4114,1.6435,2.6185,1.4936,1.4445,1.9082,1.3752
1.2758,1.1293,2.2,1.5107,1.3342,1.6182,2.4756
1.2725,1.2163,1.5903,1.3054,1.2228,1.0795,1.2118
1.4258,1.1425,1.8633,1.1623,1.2122,2.0167,1.6185
1.1823,1.5737,2.5392,1.3377,1.4979,1.8556,1.5246
1.9136,1.9058,1.9816,1.8302,1.7405,2.2046,1.7356
1.3675,1.6344,2.2586,2.3032,1.5906,1.9914,2.6661
1.2701,1.2418,2.2482,1.2812,1.2195,1.9541,1.3573
1.8307,1.8561,2.2729,1.7471,1.9359,2.3812,2.0658
1.7748,1.6086,2.1219,1.5261,2.2483,1.6526,1.6556
1.4481,1.4444,1.547,1.8323,1.5172,1.667,1.6524
1.2819,1.3143,2.5127,1.5602,1.6136,1.7406,1.449
