"XGBoost (Default, Tuned)","XGBoost (Extra Features, Tuned)",Linear Regression,RuleFit (Tuned),RuleFit (Default),Few-Shot KNN,DNN Small (32-16)
0.8603,0.8056,0.5566,0.7871,0.8425,0.6701,0.9007
0.7457,0.7324,-208.841,0.8323,0.7979,0.5984,-296.9679
0.8768,0.844,-0.7269,0.882,0.8089,0.727,0.7876
0.8394,0.8695,0.758,0.8458,0.8348,0.7262,0.8368
0.7141,0.7158,0.4185,0.7402,0.7463,0.5949,0.7588
0.4944,0.546,0.1604,0.6863,0.6055,0.3288,0.5641
0.8439,0.8719,0.8079,0.8585,0.8546,0.7744,0.7947
0.8839,0.8924,0.3334,0.7966,0.814,0.7835,0.7033
0.8697,0.87,0.4844,0.7822,0.8032,0.7839,0.6822
0.883,0.9015,0.5946,0.8476,0.871,0.6686,0.8327
0.6605,0.6848,0.4378,0.6961,0.6965,0.5185,-0.6727
0.6391,0.6323,0.4682,0.6463,0.6089,0.5284,0.7354
0.793,0.8041,0.5993,0.8609,0.8602,0.7888,0.7139
0.7686,0.7387,0.3085,0.7545,0.775,0.6351,0.8065
0.8764,0.8712,0.3159,0.8265,0.8246,0.6828,0.8888
0.8042,0.824,0.2381,0.7937,0.8131,0.5741,0.7089
0.7391,0.767,0.7119,0.7657,0.7338,0.7461,0.8863
0.8743,0.8015,0.2118,0.8121,0.8182,0.7758,0.7653
0.7567,0.6775,0.1281,0.7389,0.7809,0.5576,0.7536
0.7926,0.8337,0.1867,0.7012,0.7672,0.7137,0.14
0.845,0.8429,0.7798,0.8474,0.8336,0.8729,0.854
0.7667,0.8365,0.6072,0.8378,0.8476,0.5204,0.7497
0.8412,0.7572,-0.3212,0.8182,0.7709,0.6102,0.72
0.6768,0.7081,0.7251,0.6894,0.7113,0.6409,0.7713
0.802,0.7273,0.4383,0.4271,0.7652,0.516,0.2736
0.8597,0.8598,0.3154,0.8374,0.8434,0.6264,0.7934
0.7589,0.7601,0.6435,0.7465,0.7397,0.597,0.6601
0.5492,0.6806,0.3029,0.6819,0.3746,0.6095,0.6843
0.8311,0.8466,0.8115,0.7999,0.7807,0.8119,0.8249
0.8094,0.7716,0.2326,0.7329,0.7245,0.6644,0.7868
