rule,type,coef,support,importance
Graphene (wt. %),linear,-1.6824725116490746,1.0,1.1017901464035924
Load (N) > -0.6358307898044586 & Type of Graphene_encoded > -0.220378577709198 & Density (%) > -0.7341868728399277,rule,1.6257137079577715,0.42857142857142855,0.8045196402125862
Graphene (wt. %) > -0.05900891963392496 & sintering_intensity <= -0.1350325345993042,rule,-2.133318496163365,0.10714285714285714,0.659824290014532
Type of Graphene_encoded,linear,0.598272305175641,1.0,0.5896182493693942
Sintering Temperature (°C) > -0.36074260622262955 & Si3N4 (wt%) <= -0.20140836387872696,rule,-1.0170664578551107,0.25,0.4404026949197905
Sintering Pressure (MPa) > -0.5964524650480598 & Graphene (wt. %) > -0.1961146080866456,rule,0.7651235029489963,0.39285714285714285,0.37367523359919597
Density (%),linear,0.5940160980405867,1.0,0.36929904593962715
Sintering Pressure (MPa) <= -0.9894904792308807,rule,-0.8122229041185612,0.2857142857142857,0.36692490639588715
Thickness of graphene (nm) <= -0.47927433252334595 & si3n4_to_additive <= 0.7238286733627319 & Type of Graphene_encoded <= 0.8692739382386208 & Type of Graphene_encoded <= -0.220378577709198 & Type of Graphene_encoded > -0.7904582396149635 & Graphene (wt. %) <= 0.826320692896843,rule,1.1456540724876476,0.10714285714285714,0.35434483240121484
Sintering Pressure (MPa) > -0.9894904792308807 & Type of Graphene_encoded > 1.5205397605895996,rule,0.8672888792586767,0.17857142857142858,0.3321656098387069
Type of Graphene_encoded > 0.8692739382386208 & Sintering Temperature (°C) <= 0.47512439638376236 & total_additive > -1.855623871088028,rule,0.9008046208793271,0.10714285714285714,0.2786141734028241
Graphene (wt. %) > -0.5800105333328247 & Density (%) > -0.7341868728399277 & Load (N) <= 0.8625552803277969 & Type of Graphene_encoded <= 1.5205397605895996 & Density (%) > 0.44571246206760406,rule,-0.7053385726315714,0.14285714285714285,0.2468170855500517
β-Si3N4 Content (%) > -1.2611891031265259 & graphene_aspect_ratio <= 0.508739598095417 & Type of Graphene_encoded <= 0.44326869398355484 & Density (%) > -0.8153144717216492 & sintering_dose <= 1.9170914888381958,rule,-0.4746843942546772,0.42857142857142855,0.23490785383118767
Type of Graphene_encoded > -0.220378577709198 & Si3N4 (wt%) <= -0.20140836387872696,rule,-0.5269908734044859,0.21428571428571427,0.21623800617327577
Si3N4 (wt%) > -0.20140836387872696 & Density (%) <= 0.43100810050964355 & Type of Graphene_encoded <= 1.5205397605895996,rule,0.4680144728346171,0.2857142857142857,0.2114273874400558
Sintering Pressure (MPa) <= -0.9894904792308807 & Graphene (wt. %) > -0.1961146080866456,rule,-0.5393118031724666,0.17857142857142858,0.20655267037105024
Si3N4 (wt%),linear,0.2769231540356487,1.0,0.19344482020361184
Density (%) <= -0.11863129585981369 & graphene_volume_proxy > 0.04694753675721586 & Thickness of graphene (nm) > -0.3778688460588455,rule,-0.7072669730009208,0.07142857142857142,0.18214909547121608
Si3N4 (wt%) > -0.20140836387872696 & sintering_energy > -0.10660519823431969 & Density (%) > 0.43100810050964355 & Type of Graphene_encoded <= 1.5205397605895996,rule,-0.5406990273022643,0.10714285714285714,0.16723539051617736
Load (N) <= -0.5791595876216888 & Type of Graphene_encoded > -0.220378577709198 & additive_ratio <= 1.0151890255510807,rule,-0.5241205613142191,0.10714285714285714,0.16210775740852615
